5.1,3.5,1.4,0.2,Iris-setosa
4.9,3,1.4,0.2,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
5,3.6,1.4,0.2,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5,3.4,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
7,3.2,4.7,1.4,Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor
5.5,2.3,4,1.3,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
4.9,2.4,3.3,1,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5,2,3.5,1,Iris-versicolor
6.3,1.8,6,2.5,Iris-virginica
6,2.7,5.1,1.9,Iris-virginica
7.1,2.5,5.9,2.1,Iris-virginica
6.3,2.1,5.6,1.8,Iris-virginica
6.5,1.9,5.8,2.2,Iris-virginica
7.6,1.9,6.6,2.1,Iris-virginica
5.9,2.5,4.5,1.7,Iris-virginica
7.3,2.3,6.3,1.8,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
7.2,2.6,6.1,2.5,Iris-virginica
6.5,1.2,5.1,2,Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica
