Country,GDP,Life_Satisfaction
Russia,9054.91,6.0
Turkey,9437.37,5.6
Hungary,12239.89,4.9
Poland,12495.33,5.8
Slovak Republic,15991.74,6.1
Estonia,17288.08,5.6
Greece,18064.29,4.8
Portugal,19121.59,5.1
Slovenia,20732.48,5.7
Spain,25864.72,6.5
Korea,27195.2,5.8
Italy,29866.58,6.0
Japan,32485.55,5.9
Israel,35343.34,7.4
New Zealand,37044.89,7.3
France,37675.01,6.5
Belgium,40106.63,6.9
Germany,40996.51,7.0
Finland,41973.99,7.4
Canada,43331.96,7.3
Netherlands,43603.12,7.3
Austria,43724.03,6.9
United Kingdom,43770.69,6.8
Sweden,49866.27,7.2
Iceland,50854.58,7.5
Australia,50961.87,7.3
Ireland,51350.74,7.0
Denmark,52114.17,7.5
United States,55805.2,7.2
